Family,Species,Sex,Known or assumed karyotype?,Citation,Comments
Soricidae,Sorex hoyi,XY,Assumed,NA,NA
Soricidae,Sorex isodon,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex ixtlanensis,XY,Assumed,NA,NA
Soricidae,Sorex jacksoni,XY,Assumed,NA,NA
Soricidae,Sorex kozlovi,XY,Assumed,NA,"Sorex kozlovi is traditionally placed in the Sorex minutus group (Bannikova et al. 2018). In the Upham et al. (2019) phylogeny, its position is instead imputed as sister to Sorex daphaenodon as the only assumed XX/XY species in a clade otherwise wholly populated by species with X-autosome fusions. Given the lack of available cytological evidence to support or falsify this likely spurious placement, it was excluded from our trees and analyses."
Soricidae,Sorex leucogaster,XY,Assumed,NA,NA
Soricidae,Sorex longirostris,XY,Assumed,NA,NA
Soricidae,Sorex lyelli,XY,Assumed,NA,NA
Soricidae,Sorex macrodon,XY,Assumed,NA,NA
Soricidae,Sorex maritimensis,XAfusion,Known,Bulatova et al. (2019),NA
Soricidae,Sorex mediopua,XY,Assumed,NA,NA
Soricidae,Sorex merriami,XY,Assumed,NA,NA
Soricidae,Sorex milleri,XY,Assumed,NA,NA
Soricidae,Sorex minutissimus,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex minutus,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex mirabilis,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex monticolus,XY,Assumed,NA,NA
Soricidae,Sorex nanus,XY,Assumed,NA,NA
Soricidae,Sorex neomexicanus,XY,Assumed,NA,NA
Soricidae,Sorex oreopolus,XY,Assumed,NA,NA
Soricidae,Sorex orizabae,XY,Assumed,NA,NA
Soricidae,Sorex ornatus,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex pacificus,XY,Assumed,NA,NA
Soricidae,Sorex palustris,XY,Assumed,NA,NA
Soricidae,Sorex planiceps,XY,Assumed,NA,NA
Soricidae,Sorex portenkoi,XY,Assumed,NA,NA
Soricidae,Sorex preblei,XY,Assumed,NA,NA
Soricidae,Sorex pribilofensis,XY,Assumed,NA,NA
Soricidae,Sorex raddei,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex roboratus,XY,Assumed,NA,NA
Soricidae,Sorex rohweri,XY,Assumed,NA,NA
Soricidae,Sorex samniticus,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex satunini,XAfusion,Known,Bulatova et al. (2019),NA
Soricidae,Sorex saussurei,XY,Assumed,NA,NA
Soricidae,Sorex sclateri,XY,Assumed,NA,NA
Soricidae,Sorex shinto,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex sinalis,XY,Assumed,NA,NA
Soricidae,Sorex sonomae,XY,Assumed,NA,NA
Soricidae,Sorex stizodon,XY,Assumed,NA,NA
Soricidae,Sorex tenellus,XY,Assumed,NA,NA
Soricidae,Sorex thibetanus,XY,Assumed,NA,NA
Soricidae,Sorex trowbridgii,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex tundrensis,XAfusion,Known,Blackmon et al. (2019),NA
Soricidae,Sorex ugyunak,XY,Assumed,NA,NA
Soricidae,Sorex unguiculatus,XY,Assumed,NA,NA
Soricidae,Sorex vagrans,XY,Known,Blackmon et al. (2019),NA
Soricidae,Sorex ventralis,XY,Assumed,NA,NA
Soricidae,Sorex veraecrucis,XY,Assumed,NA,NA
Soricidae,Sorex veraepacis,XY,Assumed,NA,NA
Soricidae,Sorex volnuchini,XY,Assumed,NA,NA
Soricidae,Sorex yukonicus,XY,Assumed,NA,NA
Soricidae,Soriculus nigrescens,XY,Assumed,NA,NA
Soricidae,Suncus aequatorius,XY,Assumed,NA,NA
Soricidae,Suncus ater,XY,Assumed,NA,NA
Soricidae,Suncus dayi,XY,Assumed,NA,NA
Soricidae,Suncus etruscus,XY,Known,Blackmon et al. (2019),NA
Soricidae,Suncus fellowesgordoni,XY,Assumed,NA,NA
Soricidae,Suncus hosei,XY,Assumed,NA,NA
Soricidae,Suncus hututsi,XY,Assumed,NA,NA
Soricidae,Suncus infinitesimus,XY,Assumed,NA,NA
Soricidae,Suncus lixus,XY,Assumed,NA,NA
Soricidae,Suncus madagascariensis,XY,Assumed,NA,NA
Soricidae,Suncus malayanus,XY,Assumed,NA,NA
Soricidae,Suncus megalura,XY,Assumed,NA,NA
Soricidae,Suncus mertensi,XY,Assumed,NA,NA
Soricidae,Suncus montanus,XY,Assumed,NA,NA
Soricidae,Suncus murinus,XY,Known,Blackmon et al. (2019),NA
Soricidae,Suncus remyi,XY,Assumed,NA,NA
Soricidae,Suncus stoliczkanus,XY,Assumed,NA,NA
